Transaction Detail,Category,Sub-Category
"wal-mart #0015 1310 precher rd/hgwy 16 west plains, mo, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"cash app*david capps*cash squareup.com san francisco, ca, us",expenses,miscellaneous
"wal wal-mart #1421 520756 1980 freedom parkway washington, il, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"klarna* aliexpress 629 north high streetsu columbus, oh, us",expenses,miscellaneous
"dollar general #22695 dg 22695101 commercial goodfield, il, us",expenses,miscellaneous
"aliexpress 400 el camino south san mateo, ca, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"klarna*aliexpress 629 n high st  floor 3 columbus, oh, us",expenses,miscellaneous
"cash app*david capps*add squareup.com san francisco, ca, us",expenses,miscellaneous
"etsy, inc. www.etsy.com/ brooklyn, ny, us",expenses,miscellaneous
"klarna*aliexpress 629 n high st  floor 3 columbus, oh, us",expenses,miscellaneous
"dd/br #355623 q35 120 west ashland street morton, il, us",expenses,miscellaneous
"mnrd-washington 1975 freedom parkway washington, il, us",expenses,miscellaneous
"klarna* aliexpress 629 north high streetsu columbus, oh, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"cash app*david capps*cash squareup.com oakland, ca, us",expenses,miscellaneous
"klarna* aliexpress 629 north high streetsu columbus, oh, us",expenses,miscellaneous
"klarna*aliexpress 629 n high st  floor 3 columbus, oh, us",expenses,miscellaneous
"wm supercenter #5157 155 e courtland st morton, il, us",expenses,miscellaneous
"wal-mart #3210 2760 n dirksen pkwy springfield, il, us",expenses,miscellaneous
"klarna*aliexpress 629 n high st  floor 3 columbus, oh, us",expenses,miscellaneous
"klarna*aliexpress 629 n high st  floor 3 columbus, oh, us",expenses,miscellaneous
"cash app*david capps*cash squareup.com oakland, ca, us",expenses,miscellaneous
"wal-mart #5157 155 east courtland str morton, il, us",expenses,miscellaneous
"klarna*aliexpress 629 n high st  floor 3 columbus, oh, us",expenses,miscellaneous
"mnrd-washington 1975 freedom parkway washington, il, us",expenses,miscellaneous
"wal wal-mart super 001295 5157 wal-sams morton, il, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"cash app*david capps*add squareup.com oakland, ca, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"klarna* aliexpress 629 north high streetsu columbus, oh, us",expenses,miscellaneous
"wm supercenter #5157 wal-mart super center morton, il, us",expenses,miscellaneous
"taxact 3200 olympus blvd 3193733600, tx, us",expenses,miscellaneous
"temu.com 31 st james avenue suit 13024806118, ma, us",expenses,miscellaneous
"wm supercenter #1936 3763 i-75 business spur sault sainte, mi, us",expenses,miscellaneous
"menards washington il 1975 freedom pkwy washington, il, us",expenses,miscellaneous
"menards washington il 1975 freedom pkwy washington, il, us",expenses,miscellaneous
"temu.com 31 st james avenue suit 13024806118, ma, us",expenses,miscellaneous
"holiday stations 0204 w274 us 2 st ignace, mi, us",expenses,miscellaneous
"klarna* aliexpress 629 north high streetsu columbus, oh, us",expenses,miscellaneous
"holiday stations 0204 w274 us 2 st ignace, mi, us",expenses,miscellaneous
cash app david capp,expenses,miscellaneous
"klarna*aliexpress 629 n high st  floor 3 columbus, oh, us",expenses,miscellaneous
"gumroad.co* momgoescam 548 market stsuite 4130 san francisco, ca, us",expenses,miscellaneous
"dollar general #22695 101 commercial st goodfield, il, us",expenses,miscellaneous
"sezzle*amzn mktp us*p4 700 nicollet mallsuite minneapolis, mn, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"klarna* aliexpress 629 north high streetsu columbus, oh, us",expenses,miscellaneous
"wm supercenter #5157 wal-mart super center morton, il, us",expenses,miscellaneous
rocket money premium,expenses,miscellaneous
cash app david capp,expenses,miscellaneous
"wm supercenter #5157 155 e courtland st morton, il, us",expenses,miscellaneous
"dollar-general #0477 dg 00477624 buckeye st north vernon, in, us",expenses,miscellaneous
"wm supercenter #1157 2410 n state highway 3 north vernon, in, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"temu.com 31 st james ave. ste 35 13024806118, ma, us",expenses,miscellaneous
"wal-mart #0143 310 west 5th street benton, ky, us",expenses,miscellaneous
"klarna aliexpress corporation trust cente wilmington, de, us",expenses,miscellaneous
"aliexpress 400 el camino south san mateo, ca, us",expenses,miscellaneous
"temu.com 31 st james ave. ste 35 13024806118, ma, us",expenses,miscellaneous
"farm & fleet of morton, il, us",expenses,miscellaneous
"temu.com 31 st james ave. ste 35 13024806118, ma, us",expenses,miscellaneous
rocket money premium,expenses,miscellaneous
"wm supercenter #5157 wal-mart super center morton, il, us",expenses,miscellaneous
"autozone  2677 1117 peoria st washington, il, us",expenses,miscellaneous
"dollar general #22695 dg 22695101 commercial goodfield, il, us",expenses,miscellaneous
"dollar general #22695 dg 22695101 commercial goodfield, il, us",expenses,miscellaneous
"wal-mart #5157 155 east courtland str morton, il, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"wm supercenter #5157 wal-mart super center morton, il, us",expenses,miscellaneous
cash app david capp,expenses,miscellaneous
"amazon.com*zr6t22nn0 amazon.com seattle, wa, us",expenses,miscellaneous
"wm supercenter #5157 wal-mart super center morton, il, us",expenses,miscellaneous
"cash app*david capps*add squareup.com oakland, ca, us",expenses,miscellaneous
"mnrd-washington 1975 freedom parkway washington, il, us",expenses,miscellaneous
"wm supercenter #5157 wal-mart super center morton, il, us",expenses,miscellaneous
"mnrd-washington 1975 freedom parkway washington, il, us",expenses,miscellaneous
"wm supercenter #5157 wal-mart super center morton, il, us",expenses,miscellaneous
"wal-mart #5157 155 east courtland str morton, il, us",expenses,miscellaneous
cash app david capp,expenses,miscellaneous
"cash app*david capps*add squareup.com oakland, ca, us",expenses,miscellaneous
"wal wal-mart super 001034 1421 wal-sams washington, il, us",expenses,miscellaneous
rocket money premium,expenses,miscellaneous
"wm supercenter #5157 wal-mart super center morton, il, us",expenses,miscellaneous
"no-ip 425 maestro dr floor 2 7758531883, nv, us",expenses,miscellaneous
"sqsp* inv162332655 225 varick st new york, ny, us",expenses,miscellaneous
"wm supercenter #5157 wal-mart super center morton, il, us",expenses,miscellaneous
"wm supercenter #5157 wal-mart super center morton, il, us",expenses,miscellaneous
"cash app*david capps*add squareup.com oakland, ca, us",expenses,miscellaneous
"wm supercenter #5157 wal-mart super center morton, il, us",expenses,miscellaneous
"cash app*david capps*add squareup.com oakland, ca, us",expenses,miscellaneous
"cof merchnt bil 7933 preston rd plano, tx, us",expenses,miscellaneous
"wm supercenter #5157 wal-mart super center morton, il, us",expenses,miscellaneous
"dollar general #22695 dg 22695101 commercial goodfield, il, us",expenses,miscellaneous
