Date, Time, Amount, Type, Description
2025-01-17,14:07:24,-48.90,Withdrawal,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US"
2025-01-17,14:01:54,-63.89,Withdrawal,"PROGRESSIVE INS 6300 Wilson Mills Rd 800-776-4737, OH, US"
2025-01-17,13:59:37,-71.96,Withdrawal,"JOBSCAN.CO 3 MONTHS 4616 25th Ave NE #388 SEATTLE, WA, US"
2025-01-17,03:29:06,-385.36,Withdrawal,FIVE LAKES (CFT) 8443588358
2025-01-16,23:13:09,-74.00,Withdrawal,Check Paid #1007
2025-01-16,16:03:58,-26.04,Withdrawal,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US"
2025-01-16,14:34:47,-7.07,Withdrawal,"BIZ PERFORMANCE HQ 34 Seaside Dve KINGSCLIFF, NS, AU"
2025-01-16,13:57:42,-29.99,Withdrawal,"AURORA FIRST, INC. APT 712 510 SE 5TH AVE FT LAUDERDALE, FL, US"
2025-01-16,04:36:12,3122.57,Deposit,AMENTUM SERVICES DIRECT DEP
2025-01-15,13:22:58,-20.65,Withdrawal,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US"
2025-01-15,03:39:35,-99.00,Withdrawal,"CASH APP*DAVID CAPPS*ADD SQUAREUP.COM OAKLAND, CA, US"
2025-01-14,21:24:56,-134.24,Withdrawal,"MNRD-WASHINGTON 1975 FREEDOM PARKWAY WASHINGTON, IL, US"
2025-01-14,14:24:53,-7.00,Withdrawal,"CULTIVATEDCULTURE.COM 197 Van Vorst StreetApa JERSEY CITY, NJ, US"
2025-01-14,13:31:08,-9.99,Withdrawal,"CLOAKED 1075 Westford StreetSui LOWELL, MA, US"
2025-01-14,04:16:47,-2.83,Withdrawal,CAPITAL ONE MOBILE PMT
2025-01-14,01:24:26,-90.33,Withdrawal,"WAL-MART #5157 155 EAST COURTLAND STR MORTON, IL, US"
2025-01-13,20:00:33,-36.00,Withdrawal,"DOLLAR GENERAL #22695 DG 22695101 COMMERCIAL GOODFIELD, IL, US"
2025-01-13,17:52:26,-100.00,Withdrawal,Alpaca Securitie EDI/EFTPMT ISA*00*          *00*          *01*006930416ISO   *ZZ*ISOALPACA      *250113*140
2025-01-13,17:50:58,-300.00,Withdrawal,COINBASE INC. 8889087930
2025-01-13,14:19:39,-53.88,Withdrawal,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US"
2025-01-13,13:47:14,-12.70,Withdrawal,"AFTERPAY 760 Market Street, Floo SAN FRANCISCO, CA, US"
2025-01-13,13:37:42,-36.01,Withdrawal,"Cracker Barrel 305 HARTMANN DR 800-3339963, TN, US"
2025-01-13,13:33:42,-31.68,Withdrawal,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US"
2025-01-12,22:45:21,-9.23,Withdrawal,"WAL-MART #5157 155 EAST COURTLAND STR MORTON, IL, US"
2025-01-12,13:36:08,-9.95,Withdrawal,"PAYPAL *QUANTECHDAT 7700 EASTPORT PARKWAY 4029357733, CA, US"
2025-01-11,19:05:38,-14.93,Withdrawal,"AMAZON.COM*ZD3JJ09Y0 AMAZON.COM SEATTLE, WA, US"
2025-01-11,14:03:44,-5.00,Withdrawal,"MEDIUM MONTHLY 548 Market StPMB 42061 SAN FRANCISCO, CA, US"
2025-01-11,04:19:37,-44.46,Withdrawal,"LJS #70333 140 N. MAIN STREET EAST PEORIA, IL, US"
2025-01-10,20:53:40,-17.36,Withdrawal,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US"
2025-01-10,18:03:56,-1.99,Withdrawal,"GOOGLE *GOOGLE ONE MOUNTAIN VIEW, CA, US"
2025-01-10,14:15:20,-28.02,Withdrawal,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US"
2025-01-10,13:50:11,-10.79,Withdrawal,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US"
2025-01-10,12:25:55,-18.00,Withdrawal,"MCDONALD'S F37176 161 SPINDER DR EAST PEORIA, IL, US"
2025-01-10,07:17:05,-20.00,Withdrawal,"CASH APP*DAVID CAPPS*ADD SQUAREUP.COM OAKLAND, CA, US"
2025-01-10,06:47:48,-40.00,Withdrawal,"CASH APP*DAVID CAPPS*ADD SQUAREUP.COM OAKLAND, CA, US"
2025-01-10,04:29:43,-4.25,Withdrawal,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753, CA, US"
2025-01-10,00:37:20,-61.85,Withdrawal,"WAL-MART #5157 155 EAST COURTLAND STR MORTON, IL, US"
2025-01-09,13:55:24,-9.59,Withdrawal,"CIRCLE K 00161 319 N. MAIN MORTON, IL, US"
2025-01-09,11:31:03,-60.51,Withdrawal,"FARM & FLEET OF MORTON, IL, US"
2025-01-09,03:53:28,-8.10,Withdrawal,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US"
2025-01-09,03:48:11,-8.49,Withdrawal,"KLARNA* TEMU 629 North High StreetSu COLUMBUS, OH, US"
2025-01-09,03:47:08,-0.99,Withdrawal,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753, CA, US"
2025-01-09,03:42:59,-231.17,Withdrawal,"ROOT INSURANCE 80 E RICH ST #500 6149150703, OH, US"
2025-01-08,13:22:29,-31.02,Withdrawal,"DOMINO'S 2817 11 E JACKSON ST MORTON, IL, US"
2025-01-08,11:37:03,-4.68,Withdrawal,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US"
2025-01-07,14:10:11,-28.64,Withdrawal,"CULVERS OF MORTON 121 EAST COURTLAND ST MORTON, IL, US"
2025-01-07,14:10:05,-7.00,Withdrawal,"CULTIVATEDCULTURE.COM 197 Van Vorst StreetApa JERSEY CITY, NJ, US"
2025-01-07,04:09:48,-21.23,Withdrawal,"HP *INSTANT INK 3400 Hanover St 855-785-2777, CA, US"
2025-01-07,01:15:14,-500.00,Withdrawal,SCHWAB BROKERAGE MONEYLINK~ Future Amount: 500 ~ Tran: ACHDW
2025-01-06,13:34:10,-16.04,Withdrawal,"Klarna temu Corporation Trust Cente Wilmington, DE, US"
2025-01-06,09:57:00,-7.88,Withdrawal,"KLARNA* TEMU.COM 629 North High StreetSu COLUMBUS, OH, US"
2025-01-06,09:30:34,-22.04,Withdrawal,"SHELL OIL 574266457QPS 211 E PEORIA ST GOODFIELD, IL, US"
2025-01-06,09:12:21,-86.00,Withdrawal,"SHELL OIL 574266457QPS 211 E PEORIA ST GOODFIELD, IL, US"
2025-01-06,03:58:24,-25.00,Withdrawal,Mission Lane LLC EDI PYMNTS
2025-01-06,01:32:47,-11.90,Withdrawal,AFFIRM INC AFFIRM PAY~ Future Amount: 11.9 ~ Tran: ACHDW
2025-01-05,04:32:40,-14.58,Withdrawal,"ARBYS 7525 9015 N ALLEN RD PEORIA, IL, US"
2025-01-05,04:30:02,-26.70,Withdrawal,"PAYTOMORROW 9920 KINCEY AVE STE 190 866-4185857, NC, US"
2025-01-04,16:52:11,-48.26,Withdrawal,"HARBOR FREIGHT TOOLS 1 EAST PEORIA, IL, US"
2025-01-04,15:04:58,-175.00,Withdrawal,"IN *CALDWELL RENTALS D 85 SERVICEMASTER DR 731-6422247, TN, US"
2025-01-04,04:33:22,-1.36,Withdrawal,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US"
2025-01-04,04:26:52,-1.38,Withdrawal,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US"
2025-01-04,01:22:08,-63.33,Withdrawal,"WAL-MART #5157 155 EAST COURTLAND STR MORTON, IL, US"
2025-01-03,15:59:07,-16.00,Withdrawal,"MNRD-PEORIA 2627 W TOWNLINE ROAD PEORIA, IL, US"
2025-01-03,14:34:23,-525.35,Withdrawal,"OREILLY 6757 PEORIA, IL, US"
2025-01-03,14:13:30,-108.37,Withdrawal,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US"
2025-01-03,13:37:13,-27.01,Withdrawal,"AUTOZONE  4466 9003 N ALLEN RD PEORIA, IL, US"
2025-01-03,04:57:04,-1404.90,Withdrawal,M & T MORTGAGE MTG PYT
2025-01-03,04:53:37,-385.36,Withdrawal,FIVE LAKES (CFT) 8443588358
2025-01-02,03:35:04,3019.78,Deposit,AMENTUM SERVICES DIRECT DEP
2025-01-01,14:12:09,-55.95,Withdrawal,"DOMINO'S 2817 11 E JACKSON ST MORTON, IL, US"
2025-01-01,14:07:48,-28.59,Withdrawal,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US"
2025-01-01,14:03:56,-28.16,Withdrawal,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US"
2025-01-01,13:57:35,-32.00,Withdrawal,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US"
