,Month,Date,Description,$,Amount,Category,Sub-Category
,December,2024-12-14,"AMOCO#1794577MORTONQPS 601 W JACKSON ST MORTON, IL, US",$,1.91,Expenses,Auto-Fuels
,December,2024-12-13,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US",$,98.15,Expenses,Auto-Fuels
,December,2024-12-13,"WM SUPERCENTER #5157 Wal-Mart Super Center MORTON, IL, US",$,105.99,Expenses,Miscellaneous
,December,2024-12-12,"ILSOS ROANOKE VEHICLE 106 W BROAD ST ROANOKE, IL, US",$,6.0,Expenses,Auto-Fuels
,December,2024-12-12,"CASEYS #2095 1801 S MAIN ST EUREKA, IL, US",$,38.81,Expenses,Auto-Fuels
,December,2024-12-12,"ARBYS 8865 133 E ASHLAND ST MORTON, IL, US",$,35.53,Expenses,Restaurant
,December,2024-12-12,AFFIRM INC AFFIRM PAY~ Future Amount: 13.57 ~ Tran: ACHDW,$,13.57,Debt,Personal loans
,December,2024-12-11,"MNRD-WASHINGTON 1975 FREEDOM PARKWAY WASHINGTON, IL, US",$,59.83,Expenses,Miscellaneous
,December,2024-12-11,"MEDIUM MONTHLY 548 Market StPMB 42061 SAN FRANCISCO, CA, US",$,5.0,Subscriptions,Personal
,December,2024-12-11,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753, CA, US",$,4.25,Subscriptions,Personal
,December,2024-12-10,"WM SUPERCENTER #5157 Wal-Mart Super Center MORTON, IL, US",$,12.47,Expenses,Miscellaneous
,December,2024-12-10,"GOOGLE *GOOGLE ONE MOUNTAIN VIEW, CA, US",$,1.99,Subscriptions,Personal
,December,2024-12-10,"CULTIVATEDCULTURE.COM 197 Van Vorst StreetApa JERSEY CITY, NJ, US",$,7.0,Subscriptions,Business
,December,2024-12-10,"IN *CALDWELL RENTALS D 85 SERVICEMASTER DR 731-6422247, TN, US",$,195.0,Bills,Rent
,December,2024-12-09,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US",$,18.08,Expenses,Auto-Fuels
,December,2024-12-09,"CIRCLE K # 01200 425 W. Jackson MORTON, IL, US",$,12.47,Expenses,Auto-Fuels
,December,2024-12-09,"DAIRY QUEEN #11401 1224 PEORIA ST WASHINGTON, IL, US",$,35.94,Expenses,Restaurant
,December,2024-12-09,"DOMINO'S 2817 11 E JACKSON ST MORTON, IL, US",$,20.53,Expenses,Restaurant
,December,2024-12-09,VENMO CASHOUT,$,70.0,Income,Deposit
,December,2024-12-08,"MNRD-WASHINGTON 1975 FREEDOM PARKWAY WASHINGTON, IL, US",$,134.6,Expenses,Miscellaneous
,December,2024-12-08,"ROOT INSURANCE 80 E RICH ST #500 6149150703, OH, US",$,231.17,Bills,Auto insurance
,December,2024-12-08,"APPLE COM BILL CUPERTINO, CA, US",$,0.99,Subscriptions,Personal
,December,2024-12-08,"PAYTOMORROW 9920 KINCEY AVE STE 190 866-4185857, NC, US",$,26.7,Debt,Personal loans
,December,2024-12-07,"CASH APP*DAVID CAPPS*ADD SQUAREUP.COM OAKLAND, CA, US",$,72.0,Expenses,Miscellaneous
,December,2024-12-07,"HP *INSTANT INK 3400 Hanover St 855-785-2777, CA, US",$,21.23,Subscriptions,Personal
,December,2024-12-06,"CRACKER BARREL #209 MO 150 E ASHLAND ST MORTON, IL, US",$,32.3,Expenses,Restaurant
,December,2024-12-06,"AMAZON.COM*ZR6T22NN0 AMAZON.COM SEATTLE, WA, US",$,85.39,Expenses,Miscellaneous
,December,2024-12-06,AMEX EPAYMENT ACH PMT,$,99.93,Debt,Personal loans
,December,2024-12-06,"Klarna*5klarna3 629 N High St  Floor 3 Columbus, OH, US",$,26.16,Debt,Personal loans
,December,2024-12-06,"Klarna*5klarna2 629 N High St  Floor 3 Columbus, OH, US",$,16.38,Debt,Personal loans
,December,2024-12-06,FIVE LAKES (CFT) 8443588358,$,385.36,Debt,Personal loans
,December,2024-12-06,CAPITAL ONE MOBILE PMT,$,380.67,Debt,Personal loans
,December,2024-12-06,"AFTERPAY 760 Market Street, Floo SAN FRANCISCO, CA, US",$,105.3,Debt,Personal loans
,December,2024-12-06,"Klarna*5klarna5 629 N High St  Floor 3 Columbus, OH, US",$,46.1,Debt,Personal loans
,December,2024-12-06,"WM SUPERCENTER #5157 Wal-Mart Super Center MORTON, IL, US",$,18.84,Expenses,Miscellaneous
,December,2024-12-05,AMENTUM SERVICES DIRECT DEP,$,3068.59,Expenses,Recreation
,December,2024-12-05,AMENTUM SERVICES DIRECT DEP,$,6329.96,Expenses,Recreation
,December,2024-12-05,Mission Lane LLC EDI PYMNTS,$,50.0,Bills,Credit cards
,December,2024-12-04,"AFTERPAY 760 Market Street, Floo SAN FRANCISCO, CA, US",$,11.29,Debt,Personal loans
,December,2024-12-04,Cash App David Capp,$,10.0,Expenses,Miscellaneous
,December,2024-12-04,AFFIRM INC AFFIRM PAY~ Future Amount: 11.9 ~ Tran: ACHDW,$,11.9,Debt,Personal loans
,December,2024-12-03,"CULTIVATEDCULTURE.COM 197 Van Vorst StreetApa JERSEY CITY, NJ, US",$,7.0,Subscriptions,Business
,December,2024-12-03,"WM SUPERCENTER #5157 Wal-Mart Super Center MORTON, IL, US",$,46.14,Expenses,Miscellaneous
,December,2024-12-02,"ALIEXPRESS 400 S EL CAMINO REAL FL 800-981-3590, CA, US",$,37.67,Expenses,Miscellaneous
,December,2024-12-02,Subscription Acorns,$,3.0,Subscriptions,Personal
,December,2024-12-01,"WAL-MART #5157 155 EAST COURTLAND STR MORTON, IL, US",$,146.08,Expenses,Miscellaneous
,December,2024-12-01,"GITHUB, INC. 88 Colin P Kelly Jr. St SAN FRANCISCO, CA, US",$,10.0,Expenses,Software
